Age class,Body Size Mean (mm),Body Size Std (mm),Distribution,Sex Ratio,Age Mortality Out %,Age Mortality Out StDev,Age Mortality Back %,Age Mortality Back StDev,Size Mortality Out %,Size Mortality Out StDev,Size Mortality Back %,Size Mortaltiy Back StDev,Migration Out Prob,Migration Back Prob,Straying Prob,Dispersal Prob,Maturation,Fecundity Ind,Fecundity Ind StDev,Fecundity Leslie,Fecundity Leslie StDev,Capture Out Probability,Capture Back Probability
0,0,0,0.038461538,.50~.50,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N
1,0,0,0.038461538,.50~.50,0,0,0.3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,N,N
2,0,0,0.038461538,.50~.50,0,0,0.18,0,0,0,0,0,0,0,0,1,1,0,0,61.5,0,N,N
3,0,0,0.038461538,.50~.50,0,0,0.1,0,0,0,0,0,0,0,0,1,1,75,0,108,0,N,N
4,0,0,0.038461538,.50~.50,0,0,0.07,0,0,0,0,0,0,0,0,1,1,120,0,167.4,0,N,N
5,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,180,0,237.5,0,N,N
6,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,250,0,285,0,N,N
7,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,300,0,356.25,0,N,N
8,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,375,0,403.75,0,N,N
9,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,425,0,475,0,N,N
10,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,500,0,522.5,0,N,N
11,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,550,0,593.75,0,N,N
12,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,625,0,593.75,0,N,N
13,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,625,0,570,0,N,N
14,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,600,0,546.25,0,N,N
15,0,0,0.038461538,.50~.50,0,0,0.05,0,0,0,0,0,0,0,0,1,1,575,0,522.5,0,N,N
16,0,0,0.038461538,.50~.50,0,0,0.07,0,0,0,0,0,0,0,0,1,1,550,0,465,0,N,N
17,0,0,0.038461538,.50~.50,0,0,0.07,0,0,0,0,0,0,0,0,1,1,500,0,418.5,0,N,N
18,0,0,0.038461538,.50~.50,0,0,0.07,0,0,0,0,0,0,0,0,1,1,450,0,372,0,N,N
19,0,0,0.038461538,.50~.50,0,0,0.07,0,0,0,0,0,0,0,0,1,1,400,0,302.25,0,N,N
20,0,0,0.038461538,.50~.50,0,0,0.1,0,0,0,0,0,0,0,0,1,1,325,0,225,0,N,N
21,0,0,0.038461538,.50~.50,0,0,0.12,0,0,0,0,0,0,0,0,1,1,250,0,176,0,N,N
22,0,0,0.038461538,.50~.50,0,0,0.15,0,0,0,0,0,0,0,0,1,1,200,0,127.5,0,N,N
23,0,0,0.038461538,.50~.50,0,0,0.2,0,0,0,0,0,0,0,0,1,1,150,0,80,0,N,N
24,0,0,0.038461538,.50~.50,0,0,0.3,0,0,0,0,0,0,0,0,1,1,100,0,52.5,0,N,N
25,0,0,0.038461538,.50~.50,0,0,1,0,0,0,0,0,0,0,0,1,1,75,0,0,0,N,N
