Allele List ,Frequency
Di10A396,0.461538462
Di10A398,0.215384615
Di10A400,0
Di10A402,0
Di2A136,0.428571429
Di2A139,0.352380952
Di2A141,0.219047619
Di24A275,0.649122807
Di24A277,0.01754386
Di24A279,0.315789474
Di6A171,0.633802817
Di8A263,0.46031746
Di8A265,0.53968254
Tet13A168,0.677966102
Tet8A247,0.184210526
Tet8A255,0.026315789
Tet8A268,0.013157895
Tri1A240,0.655737705
Tri14A138,0.64516129
Tri24A237,0.248062016
Tri24A258,0.186046512
Tri24A263,0.062015504
Tri24A266,0.093023256
Tri24A272,0.201550388
Tri4A162,0.603448276
Tri4A168,0.086206897
Tri7A120,0.389380531
Tri7A130,0.017699115
Tri7A136,0.168141593
Tri8A268,0.16
Tri8A271,0.42
Tri9A183,0.277777778
Tri9A189,0.277777778
Tri9A201,0.111111111
Di10A386,0.246153846
Di6A169,0.098591549
Di6A175,0.253521127
Di8A261,0
Tet13A164,0.101694915
Tet8A239,0.026315789
Tet8A243,0.197368421
Tet8A251,0.065789474
Tet8A254,0.039473684
Tet8A264,0.052631579
Tet8A276,0
Tet8A278,0.026315789
Tet8A282,0.039473684
Tet8A287,0
Tet8A291,0
Tet8A307,0.039473684
Tri1A237,0.327868853
Tri14A132,0.064516129
Tri14A135,0.193548387
Tri24A269,0.147286822
Tri24A275,0.062015504
Tri4A146,0.017241379
Tri4A149,0.068965517
Tri4A152,0.068965517
Tri4A155,0
Tri4A165,0.137931035
Tri7A128,0.150442478
Tri7A139,0.026548673
Tri7A145,0.026548673
Tri7A154,0.03539823
Tri7A157,0
Tri8A274,0.42
Tri9A186,0.097222222
Tri9A192,0.055555556
Tri9A198,0.041666667
Tri9A204,0.055555556
Di10A390,0.061538462
Di10A394,0.015384615
Di24A273,0.01754386
Di6A173,0.014084507
Tet13A156,0.016949153
Tet13A160,0.13559322
Tet13A172,0.06779661
Tet8A200,0.013157895
Tet8A234,0.013157895
Tet8A246,0.013157895
Tet8A250,0.013157895
Tet8A259,0.039473684
Tet8A266,0.026315789
Tet8A270,0.039473684
Tet8A272,0.013157895
Tet8A274,0.026315789
Tet8A280,0.013157895
Tet8A284,0.026315789
Tet8A299,0.026315789
Tet8A303,0.013157895
Tet8A328,0.013157895
Tri1A243,0.016393443
Tri14A141,0.048387097
Tri14A144,0.048387097
Tri4A177,0.017241379
Tri7A133,0.150442478
Tri7A142,0.026548673
Tri7A160,0.008849558
Tri9A195,0.083333333
Di2A143,0
Tet8A194,0
Tet8A295,0
Tet8A337,0
Tri1A234,0
Tri14A147,0
Di6A165,0
Tri4A180,0
Tri7A148,0
Tri9A207,0
Tet8A222,0
Tet8A258,0
Tet8A262,0
Tet8A320,0
Tri9A171,0
Tri9A210,0
Tet8A311,0
Tri4A171,0
Di6A134,0
Tet8A230,0
Tri4A130,0
