Allele List,Frequency
Di10A396,0.291666667
Di10A398,0.25
Di10A400,0.0625
Di10A402,0.291666667
Di2A136,0.41509434
Di2A139,0.339622642
Di2A141,0.245283019
Di24A275,0.785714286
Di24A277,0.035714286
Di24A279,0.178571429
Di6A171,0.685714286
Di8A263,0.303030303
Di8A265,0.696969697
Tet13A168,0.730769231
Tet8A247,0.1875
Tet8A255,0
Tet8A268,0.03125
Tri1A240,0.666666667
Tri14A138,0.421052632
Tri24A237,0.283783784
Tri24A258,0.216216216
Tri24A263,0.054054054
Tri24A266,0.040540541
Tri24A272,0.175675676
Tri4A162,0.739130435
Tri4A168,0.043478261
Tri7A120,0.385964912
Tri7A130,0.035087719
Tri7A136,0.175438596
Tri8A268,0.125
Tri8A271,0.5625
Tri9A183,0.081081081
Tri9A189,0.297297297
Tri9A201,0.081081081
Di10A386,0.104166667
Di6A169,0.114285714
Di6A175,0.2
Di8A261,0
Tet13A164,0.038461538
Tet8A239,0.0625
Tet8A243,0.21875
Tet8A251,0.03125
Tet8A254,0
Tet8A264,0.03125
Tet8A276,0
Tet8A278,0.03125
Tet8A282,0
Tet8A287,0.03125
Tet8A291,0
Tet8A307,0
Tri1A237,0.303030303
Tri14A132,0.105263158
Tri14A135,0.368421053
Tri24A269,0.202702703
Tri24A275,0.027027027
Tri4A146,0
Tri4A149,0.043478261
Tri4A152,0
Tri4A155,0
Tri4A165,0.173913043
Tri7A128,0.087719298
Tri7A139,0.035087719
Tri7A145,0.140350877
Tri7A154,0.01754386
Tri7A157,0
Tri8A274,0.3125
Tri9A186,0
Tri9A192,0
Tri9A198,0.027027027
Tri9A204,0.378378378
Di10A390,0
Di10A394,0
Di24A273,0
Di6A173,0
Tet13A156,0
Tet13A160,0.230769231
Tet13A172,0
Tet8A200,0
Tet8A234,0
Tet8A246,0
Tet8A250,0
Tet8A259,0
Tet8A266,0.03125
Tet8A270,0
Tet8A272,0
Tet8A274,0.0625
Tet8A280,0
Tet8A284,0.03125
Tet8A299,0
Tet8A303,0
Tet8A328,0
Tri1A243,0.03030303
Tri14A141,0
Tri14A144,0.052631579
Tri4A177,0
Tri7A133,0.087719298
Tri7A142,0.035087719
Tri7A160,0
Tri9A195,0.027027027
Di2A143,0
Tet8A194,0
Tet8A295,0
Tet8A337,0
Tri1A234,0
Tri14A147,0.052631579
Di6A165,0
Tri4A180,0
Tri7A148,0
Tri9A207,0
Tet8A222,0.03125
Tet8A258,0.125
Tet8A262,0.0625
Tet8A320,0.03125
Tri9A171,0.027027027
Tri9A210,0.081081081
Tet8A311,0
Tri4A171,0
Di6A134,0
Tet8A230,0
Tri4A130,0
