Allele List ,Frequency
Di10A396,0.454545455
Di10A398,0.363636364
Di10A400,0
Di10A402,0
Di2A136,0.4
Di2A139,0.333333333
Di2A141,0.266666667
Di24A275,0.916666667
Di24A277,0.083333333
Di24A279,0
Di6A171,0.705882353
Di8A263,0.529411765
Di8A265,0.470588235
Tet13A168,0.923076923
Tet8A247,0.0625
Tet8A255,0
Tet8A268,0
Tri1A240,0.714285714
Tri14A138,0.45
Tri24A237,0.282051282
Tri24A258,0.153846154
Tri24A263,0.076923077
Tri24A266,0.153846154
Tri24A272,0.205128205
Tri4A162,0.666666667
Tri4A168,0.066666667
Tri7A120,0.34375
Tri7A130,0.1875
Tri7A136,0.0625
Tri8A268,0
Tri8A271,0.5625
Tri9A183,0.368421053
Tri9A189,0.315789474
Tri9A201,0
Di10A386,0.181818182
Di6A169,0.176470588
Di6A175,0.058823529
Di8A261,0
Tet13A164,0
Tet8A239,0
Tet8A243,0.375
Tet8A251,0.0625
Tet8A254,0
Tet8A264,0.0625
Tet8A276,0
Tet8A278,0
Tet8A282,0
Tet8A287,0
Tet8A291,0.0625
Tet8A307,0.0625
Tri1A237,0.285714286
Tri14A132,0
Tri14A135,0.25
Tri24A269,0.076923077
Tri24A275,0.051282051
Tri4A146,0
Tri4A149,0
Tri4A152,0.2
Tri4A155,0
Tri4A165,0
Tri7A128,0.21875
Tri7A139,0
Tri7A145,0.125
Tri7A154,0
Tri7A157,0
Tri8A274,0.4375
Tri9A186,0.105263158
Tri9A192,0
Tri9A198,0.105263158
Tri9A204,0.105263158
Di10A390,0
Di10A394,0
Di24A273,0
Di6A173,0
Tet13A156,0.076923077
Tet13A160,0
Tet13A172,0
Tet8A200,0
Tet8A234,0
Tet8A246,0
Tet8A250,0.0625
Tet8A259,0
Tet8A266,0
Tet8A270,0
Tet8A272,0.0625
Tet8A274,0.0625
Tet8A280,0
Tet8A284,0.0625
Tet8A299,0
Tet8A303,0
Tet8A328,0
Tri1A243,0
Tri14A141,0
Tri14A144,0.2
Tri4A177,0
Tri7A133,0.0625
Tri7A142,0
Tri7A160,0
Tri9A195,0
Di2A143,0
Tet8A194,0
Tet8A295,0
Tet8A337,0
Tri1A234,0
Tri14A147,0.1
Di6A165,0.058823529
Tri4A180,0
Tri7A148,0
Tri9A207,0
Tet8A222,0
Tet8A258,0.0625
Tet8A262,0
Tet8A320,0
Tri9A171,0
Tri9A210,0
Tet8A311,0
Tri4A171,0.066666667
Di6A134,0
Tet8A230,0
Tri4A130,0
